country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1952,28.801,8425333,779.4453145
Afghanistan,Asia,1977,30.982,14880372,786.11336
Afghanistan,Asia,2007,43.828,31889923,974.5803384
Brazil,Americas,1952,50.917,56602560,2108.944355
Brazil,Americas,1977,61.489,114259877,6660.118654
Brazil,Americas,2007,72.39,190010647,9065.800825
China,Asia,1952,44.0,556263527,400.4486107
China,Asia,1977,63.967,943455000,741.7337246
China,Asia,2007,72.961,1318683096,4959.114854
Egypt,Africa,1952,41.895,22223309,1418.822445
Egypt,Africa,1977,53.319,40840741,3195.112777
Egypt,Africa,2007,71.338,80264543,5581.180998
France,Europe,1952,67.41,42459667,7029.809327
France,Europe,1977,73.83,53165019,17496.31322
France,Europe,2007,80.657,61083916,30470.0167
Germany,Europe,1952,67.5,69145952,7144.114393
Germany,Europe,1977,72.51,78160773,17740.86369
Germany,Europe,2007,79.406,82400996,32170.37434
India,Asia,1952,37.373,372000000,546.5657493
India,Asia,1977,51.805,634000000,813.3143461
India,Asia,2007,64.698,1110396331,2452.210407
Japan,Asia,1952,63.166,86480977,3216.956347
Japan,Asia,1977,75.38,113872473,15758.51658
Japan,Asia,2007,82.603,127467972,31656.06806
Nigeria,Africa,1952,36.698,33119096,1077.281856
Nigeria,Africa,1977,44.514,73040776,1981.951806
Nigeria,Africa,2007,46.859,135031164,2013.977305
United States,Americas,1952,68.44,157553000,13990.48208
United States,Americas,1977,73.38,220239000,24072.63213
United States,Americas,2007,78.242,301139947,42951.65309
United Kingdom,Europe,1952,69.18,50430000,9979.508487
United Kingdom,Europe,1977,72.76,56179000,16332.3497
United Kingdom,Europe,2007,79.425,60776238,33207.1528
Mexico,Americas,1952,50.789,30112313,3478.125529
Mexico,Americas,1977,62.442,62286143,7674.929108
Mexico,Americas,2007,76.195,108700891,11977.57496
